timestamp,open,high,low,close,volume
2018-01-02,154.43,155.87,152.73,154.17,5869844
2018-01-03,153.89,155.55,151.08,152.72,4958064
2018-01-04,152.85,156.34,152.15,155.62,4820354
2018-01-05,155.09,159.88,153.18,157.94,7510815
2018-01-08,158.3,160.2,157.7,159.59,5134875
2018-01-09,159.83,161.09,156.01,157.25,6746251
2018-01-10,156.54,157.96,153.46,154.86,5048044
2018-01-11,154.41,155.61,151.78,152.97,5718519
2018-01-12,152.76,155.81,151.87,154.91,5579966
2018-01-15,154.5,155.63,151.78,152.9,5881982
2018-01-16,152.58,154.26,151.14,152.82,4727026
2018-01-17,152.8,154.22,150.66,152.07,4587182
2018-01-18,152.5,154.34,150.47,152.31,5278344
2018-01-19,152.45,155.23,151.24,154.01,6161912
2018-01-22,154.12,154.83,153.8,154.5,6597994
2018-01-23,154.87,158.23,154.33,157.68,6183219
2018-01-24,157.65,159.3,155.9,157.55,4810208
2018-01-25,157.24,160.64,156.17,159.55,4534901
2018-01-26,159.35,163.0,157.54,161.18,4768486
2018-01-29,160.89,161.82,159.33,160.26,4474848
2018-01-30,160.17,164.61,159.18,163.6,11254604
2018-01-31,163.55,168.85,162.94,168.23,8840281
2018-02-01,168.0,174.15,166.51,172.62,7599991
2018-02-02,172.92,176.44,171.54,175.04,5819629
2018-02-05,174.26,175.0,171.95,172.69,6743120
2018-02-06,173.21,174.95,169.97,171.69,6684341
2018-02-07,171.12,172.44,169.03,170.35,5861675
2018-02-08,170.17,176.04,168.87,174.7,7568226
2018-02-09,174.63,175.14,174.07,174.58,5410985
2018-02-12,174.03,175.6,171.62,173.18,4422594
2018-02-13,173.36,176.35,171.69,174.66,5993222
2018-02-14,174.84,178.91,173.56,177.62,5926324
2018-02-15,177.21,178.96,172.81,174.53,4607196
2018-02-16,174.89,177.27,173.9,176.28,5323932
2018-02-19,176.56,179.2,174.79,177.42,5811793
2018-02-20,177.16,177.98,174.66,175.47,6652059
2018-02-21,175.53,177.31,170.95,172.7,5182884
2018-02-22,172.92,173.74,170.83,171.65,6965027
2018-02-23,171.54,174.24,170.45,173.14,5477306
2018-02-26,172.93,174.96,168.76,170.76,5312874
2018-02-27,171.22,176.51,170.03,175.3,8538960
2018-02-28,175.39,177.17,171.04,172.8,4992540
2018-03-01,172.52,174.93,171.64,174.04,4511109
2018-03-02,174.29,183.51,173.49,182.67,8747635
2018-03-05,183.01,186.37,182.34,185.69,7998874
2018-03-06,185.54,192.24,183.92,190.58,7242500
2018-03-07,190.42,196.97,188.32,194.83,7669517
2018-03-08,194.5,195.37,191.42,192.28,5912473
2018-03-09,192.98,199.0,191.93,197.92,8134033
2018-03-12,198.52,204.59,196.59,202.62,7168604
2018-03-13,202.61,206.07,200.37,203.82,4433579
2018-03-14,203.6,208.44,201.71,206.51,6977078
2018-03-15,207.29,213.93,205.27,211.86,9183651
2018-03-16,211.81,216.57,210.33,215.08,4584687
2018-03-19,214.85,218.69,213.7,217.52,4893094
2018-03-20,218.1,220.94,216.96,219.79,5974361
2018-03-21,220.42,227.69,219.09,226.33,8194924
2018-03-22,225.98,227.34,224.23,225.6,4961710
2018-03-23,225.66,230.29,223.94,228.56,6834676
2018-03-26,228.75,233.63,227.41,232.27,5111388
2018-03-27,232.05,236.55,229.98,234.46,6504634
2018-03-28,234.84,239.87,233.35,238.36,4442081
2018-03-29,239.15,243.07,237.26,241.17,5533486
2018-03-30,240.82,246.04,239.38,244.57,5121701
2018-04-02,244.39,246.55,241.85,244.0,6108447
2018-04-03,244.93,246.93,239.52,241.49,5360211
2018-04-04,241.61,247.35,239.22,244.93,6098984
2018-04-05,244.41,249.43,241.72,246.72,4745336
2018-04-06,246.92,249.33,245.14,247.55,5229025
2018-04-09,246.89,258.03,244.82,255.88,11453909
2018-04-10,256.72,259.39,255.15,257.81,4492060
2018-04-11,257.55,263.42,255.0,260.83,4406910
2018-04-12,261.33,264.66,259.38,262.71,5566218
2018-04-13,263.48,266.2,257.99,260.68,5342084
2018-04-16,261.91,264.02,259.35,261.45,4837491
2018-04-17,262.63,264.75,261.33,263.45,4787831
2018-04-18,263.13,266.16,258.78,261.81,5376160
2018-04-19,261.81,265.35,260.04,263.57,5227919
2018-04-20,263.59,265.87,258.85,261.11,4854203
2018-04-23,259.94,261.69,257.41,259.15,4405567
2018-04-24,258.33,260.92,256.16,258.75,4513724
2018-04-25,259.03,262.65,256.92,260.53,4646884
2018-04-26,261.3,264.21,260.03,262.93,5308857
2018-04-27,262.89,266.6,260.85,264.55,4872485
2018-04-30,264.61,266.29,263.01,264.69,5931438
2018-05-01,265.22,266.9,263.39,265.06,5585205
2018-05-02,265.38,273.13,263.42,271.13,7149045
2018-05-03,270.14,277.3,268.36,275.48,8268537
2018-05-04,275.23,279.22,272.82,276.8,4675659
2018-05-07,276.68,280.17,274.24,277.72,4563236
2018-05-08,277.13,284.51,274.83,282.17,6174174
2018-05-09,282.29,284.33,275.3,277.31,5473274
2018-05-10,277.89,288.92,274.95,285.9,9902420
2018-05-11,286.65,294.67,284.4,292.38,8709498
2018-05-14,292.33,298.37,289.11,295.11,4621167
2018-05-15,295.89,299.77,293.74,297.61,5053825
2018-05-16,297.59,299.85,295.72,297.97,4839476
2018-05-17,300.29,306.65,297.58,303.91,4780331
2018-05-18,304.7,320.68,301.71,317.56,8876405
2018-05-21,317.36,322.76,315.24,320.62,5281254
2018-05-22,320.94,323.42,315.65,318.11,4448586
2018-05-23,317.9,320.74,313.95,316.78,5113340
2018-05-24,317.01,323.58,314.26,320.79,6795371
2018-05-25,320.93,332.75,318.92,330.68,7201531
2018-05-28,331.12,332.96,328.08,329.91,4532974
2018-05-29,329.57,337.07,326.31,333.77,5066189
2018-05-30,333.07,344.61,331.06,342.55,8581651
2018-05-31,341.61,346.28,339.12,343.77,4625194
2018-06-01,343.62,354.64,342.03,353.0,8352371
2018-06-04,351.69,360.6,348.74,357.6,6148651
2018-06-05,357.66,361.47,349.36,353.12,6040777
2018-06-06,353.58,357.03,350.16,353.61,4541211
2018-06-07,353.73,362.38,351.77,360.38,4932792
2018-06-08,361.26,369.97,358.74,367.42,5583107
2018-06-11,367.24,381.49,363.15,377.29,7930252
2018-06-12,377.76,382.86,376.55,381.64,6108867
2018-06-13,380.91,385.69,377.72,382.48,4624148
2018-06-14,381.97,396.02,378.65,392.61,8817282
2018-06-15,393.74,398.16,384.99,389.36,4915867
2018-06-18,390.26,392.78,377.61,380.07,7593491
2018-06-19,379.4,383.14,370.46,374.14,5004875
2018-06-20,372.77,376.3,364.01,367.5,5582251
2018-06-21,368.71,370.61,364.36,366.25,4869795
2018-06-22,367.6,374.1,365.56,372.04,6534232
2018-06-25,372.3,384.34,369.21,381.18,8176305
2018-06-26,379.8,385.22,376.65,382.05,7168487
2018-06-27,382.01,383.83,377.08,378.88,4555785
2018-06-28,379.64,387.89,377.05,385.26,5784079
2018-06-29,383.92,387.32,380.49,383.89,6530399
2018-07-02,382.92,389.59,379.42,386.06,4796203
2018-07-03,385.17,394.31,383.18,392.28,4426776
2018-07-04,392.38,394.98,382.93,385.48,6411962
2018-07-05,384.94,394.28,382.93,392.23,6510141
2018-07-06,391.56,402.62,388.69,399.68,7506431
2018-07-09,401.55,406.77,398.32,403.53,5587654
2018-07-10,402.91,408.53,399.8,405.4,4453642
2018-07-11,406.48,411.38,402.82,407.72,5653371
2018-07-12,406.14,413.17,403.56,410.57,5035135
2018-07-13,410.41,412.95,408.5,411.03,6931504
2018-07-16,412.1,426.82,409.14,423.77,8152632
2018-07-17,424.02,436.81,421.82,434.55,8179972
2018-07-18,435.54,446.6,433.62,444.64,9826421
